WELL ID,RESULTS,CHEMICAL,DATE,UNITS,QUALIFER,RL,LATITUDE,LONGITUDE,WELL TYPE,WELL DEPTH (FT),TOP OF SCREEN (FT),SCREEN LENGTH (FT),SOURCE,SOURCE NAME,OTHER NAMES
SL185742938-M-105,540,TDS,7/17/2018,MG/L,=,10,37.65301103,-121.0187446,MONITORING,75,55,20,EDF,M-105,M-105
T0607700888-MW-7,1000,TDS,5/19/2003,MG/L,=,10000,37.9544468,-121.2705437,MONITORING,,,,EDF,MW-7,MW-7
SLT5S0033055-PW24-201,493,TDS,8/23/2018,MG/L,=,10,37.8,-121.28,MONITORING,,174.82,10,EDF,PW24-201,PW24-201
T10000000687-MW-6,958,TDS,4/19/2011,MG/L,=,10,37.5653167,-121.1941661,MONITORING,,20.5,3.5,EDF,MW-6,MW-6
T10000000687-MW-6,990,TDS,6/2/2010,MG/L,=,10,37.5653167,-121.1941661,MONITORING,,20.5,3.5,EDF,MW-6,MW-6
T10000000687-MW-6,1070,TDS,2/10/2010,MG/L,=,20,37.5653167,-121.1941661,MONITORING,,20.5,3.5,EDF,MW-6,MW-6
SLT5S0033055-PW10-195,607,TDS,9/2/2014,MG/L,=,10,37.8,-121.28,MONITORING,,171.2,5,EDF,PW10-195,PW10-195
T0609900332-117-MW-05(S),565,TDS,2/12/2002,MG/L,=,10,37.41037988,-121.1041736,MONITORING,,,,EDF,117-MW-05(S),117-MW-05(S)
T0607700019-V1,552,TDS,6/29/2004,MG/L,=,20000,37.9865951,-121.3202314,MONITORING,,20,20,EDF,V1,V1
T0607700539-NP-2-60,1520,TDS,11/9/2011,MG/L,=,600000,37.95691501,-121.2853708,MONITORING,,60,10,EDF,NP-2-60,NP-2-60
T10000003258-MW-6,730,TDS,6/16/2014,MG/L,=,10,37.939404,-121.5778654,MONITORING,,,,EDF,MW-6,MW-6
L10005834311-MW-5A,2700,TDS,6/7/2007,MG/L,=,10,37.748078,-121.6474551,MONITORING,,,,EDF,MW-5A,MW-5A
L10005834311-MW-5A,2500,TDS,6/6/2013,MG/L,=,19,37.748078,-121.6474551,MONITORING,,,,EDF,MW-5A,MW-5A
L10005834311-MW-5A,2500,TDS,5/30/2018,MG/L,=,10,37.748078,-121.6474551,MONITORING,,,,EDF,MW-5A,MW-5A
SL185742938-M-154,480,TDS,7/19/2017,MG/L,=,10,37.64725088,-121.0263667,MONITORING,65,45,20,EDF,M-154,M-154
L10003659506-B-17,670,TDS,1/21/2016,MG/L,=,33,38.3610215,-120.8089021,MONITORING,,,,EDF,B-17,B-17
L10003659506-B-17,760,TDS,7/12/2012,MG/L,=,50,38.3610215,-120.8089021,MONITORING,,,,EDF,B-17,B-17
L10003659506-B-17,510,TDS,7/17/2018,MG/L,=,33,38.3610215,-120.8089021,MONITORING,,,,EDF,B-17,B-17
L10008827999-AMW-31S,410,TDS,2/5/2014,MG/L,=,20,37.8877153,-121.1962905,MONITORING,,95,20,EDF,AMW-31S,AMW-31S
L10008827999-AMW-31S,450,TDS,8/3/2018,MG/L,=,33,37.8877153,-121.1962905,MONITORING,,95,20,EDF,AMW-31S,AMW-31S
L10008827999-AMW-31S,490,TDS,1/31/2019,MG/L,=,33,37.8877153,-121.1962905,MONITORING,,95,20,EDF,AMW-31S,AMW-31S
SL185742938-M-152,830,TDS,1/16/2018,MG/L,=,10,37.64703087,-121.0135894,MONITORING,95,75,20,EDF,M-152,M-152
SL185742938-M-152,1100,TDS,7/14/2010,MG/L,=,10,37.64703087,-121.0135894,MONITORING,95,75,20,EDF,M-152,M-152
